step,kernel_us,overhead_us,total_us,new_best
476,27581.1,31157,58738,0
477,15399.6,33139.1,48538.7,0
478,19048.7,27096.3,46145,0
479,24479.8,29951.5,54431.3,0
480,13868.7,28581.1,42449.9,0
481,12771.5,30175.6,42947.1,0
482,17956.8,26987.5,44944.3,0
483,10270.6,29280.3,39550.8,0
484,18668.9,28100.4,46769.3,0
485,17463.9,25862.5,43326.5,0
486,12631.9,28984.8,41616.7,0
487,40343.8,30629.9,70973.7,0
488,41309.3,28717.9,70027.3,0
489,13456.4,30873.6,44330,0
490,23654.1,32022.2,55676.3,0
491,25221.8,29513.4,54735.2,0
492,20676.5,27966.8,48643.3,0
493,16120.9,28100.6,44221.4,0
494,13286.5,30481.2,43767.7,0
495,29838.3,29699.5,59537.9,0
496,20553.4,27685.6,48239,0
497,11238.5,32117.6,43356.1,0
498,11895.8,32535.2,44431,0
499,22730.7,29491,52221.7,0
500,12425.6,31803.1,44228.7,0
501,12217.8,31812.1,44029.9,0
502,13459.2,28348.2,41807.4,0
503,11559.2,30122.9,41682.1,0
504,19810.8,27631.7,47442.5,0
505,24334.1,27982.9,52317,0
506,24883.1,27055.7,51938.8,0
507,19151.7,28734.1,47885.9,0
508,13670.3,28874.2,42544.5,0
509,16068.6,27660.5,43729.1,0
510,14044.4,29241.7,43286.1,0
511,8829.44,29936.8,38766.2,0
512,20913.5,29168.9,50082.5,0
513,19361.6,30631,49992.6,0
514,17821.3,28803.3,46624.6,0
515,14175.3,29494.4,43669.6,0
516,39377.6,27097.5,66475.1,0
517,16502.5,30408.2,46910.7,0
518,17985.7,30914.4,48900.1,0
519,14168,29491.4,43659.3,0
520,10738.6,25191.7,35930.3,0
521,28467.5,27918.7,56386.2,0
522,24735.6,28515.4,53251.1,0
523,21000.7,28330.8,49331.5,0
524,33312.1,27264.8,60576.9,0
525,17987.5,24790.4,42777.8,0
526,15206.8,28393.3,43600.1,0
527,22162.5,24109.8,46272.3,0
528,33632.7,23237,56869.6,0
529,22301.7,21148,43449.7,0
530,9063.58,23399.1,32462.7,0
531,20970.6,25887.8,46858.4,0
532,8768.77,24352.8,33121.6,0
533,37105.9,23953.1,61058.9,0
534,27167.4,29128.7,56296.1,0
535,15960.1,27700.6,43660.7,0
536,17170.7,30844.5,48015.2,0
537,15728.7,26923.3,42652,0
538,20662.2,27604.9,48267.1,0
539,13971.5,27805.2,41776.7,0
540,9014.53,26894.6,35909.2,0
541,14086,28677.7,42763.7,0
542,18502.6,25769.7,44272.3,0
543,11582.6,30819.5,42402.1,0
544,15284.4,27485.7,42770.1,0
545,13662.5,28777,42439.5,0
546,16165.4,28719,44884.5,0
547,35912.3,28853.1,64765.4,0
548,20247.2,32103.4,52350.6,0
549,15940.3,29904.4,45844.7,0
550,15146.7,30130.7,45277.4,0
551,20372.1,28123.8,48495.9,0
552,11995.6,30714.1,42709.6,0
553,22665.7,30050.6,52716.3,0
554,20914.8,28513.7,49428.6,0
555,10616.7,33298.8,43915.5,0
556,11447.9,27440.6,38888.6,0
557,13537.4,27571.3,41108.7,0
558,22435,26251.6,48686.7,0
559,19473.2,29224.2,48697.4,0
560,13166.1,31308.7,44474.8,0
561,16285.8,28906,45191.8,0
562,19755.8,31345.4,51101.2,0
563,25922,32017.2,57939.2,0
564,19294.9,28566.3,47861.2,0
565,11139.9,27209.1,38349,0
566,13269.4,28590.8,41860.2,0
567,16872.2,27735.2,44607.3,0
568,14039.6,28427,42466.6,0
569,10319.7,28732.3,39052,0
570,24913.6,27646.7,52560.3,0
571,12453.4,31089.8,43543.2,0
572,11183.6,30594,41777.7,0
573,22226.6,28073,50299.6,0
574,12137.6,28643,40780.6,0
575,9127.39,29877.2,39004.6,0
576,17494.1,28510.9,46005,0
577,15305.3,28552.1,43857.5,0
578,16511.8,23864.6,40376.3,0
579,9641.47,29720.2,39361.7,0
580,51965.6,26293.8,78259.4,0
581,20057.1,30817.1,50874.3,0
582,38008.4,29285.4,67293.8,0
583,26230.2,30617,56847.2,0
584,12820.4,29212.5,42032.9,0
585,10613.2,29284.9,39898,0
586,21592.9,25912.2,47505,0
587,12359.3,31724.2,44083.5,0
588,17487.4,27283.8,44771.3,0
589,14891.9,28842.3,43734.2,0
590,16975.3,27130.6,44105.9,0
591,19280.8,30507,49787.9,0
592,12902.5,28056.4,40958.9,0
593,19355.7,27544.4,46900.1,0
594,11040.9,29222.3,40263.2,0
595,12030.4,26868.1,38898.5,0
596,25038.5,26430.3,51468.8,0
597,27614.7,26029.9,53644.6,0
598,11719.6,22433.3,34152.8,0
599,18194.7,18884,37078.6,0
600,10336.6,29137.7,39474.4,0
601,20542.5,28026.3,48568.8,0
602,19169.9,28587.3,47757.2,0
603,23619.8,25987.9,49607.7,0
604,50469.4,28873.8,79343.2,0
605,17712.1,26340.7,44052.8,0
606,12810,30047.2,42857.2,0
607,19733.8,27857.4,47591.2,0
608,20054.1,27604.7,47658.8,0
609,25325.3,27657,52982.4,0
610,11624.1,28340.7,39964.8,0
611,16502,28791.7,45293.7,0
612,14939.8,28988.7,43928.5,0
613,45524.8,29916.9,75441.7,0
614,20741.5,29338.9,50080.4,0
615,13500.5,33640.1,47140.6,0
616,27401.8,29093.6,56495.4,0
617,35543.3,28768.5,64311.8,0
618,25994.6,26996.2,52990.8,0
619,16523.8,28501.7,45025.4,0
620,18146.4,30541.7,48688.1,0
621,35597.3,29643.7,65241,0
622,43964.6,27192.9,71157.5,0
623,17748.6,28447.3,46196,0
624,34242.9,22908.8,57151.7,0
625,14794.5,21740.3,36534.9,0
626,18485.8,23019.1,41504.9,0
627,23135.6,24974.3,48109.9,0
628,11655,27736.2,39391.3,0
629,18783.9,26590.8,45374.7,0
630,11870.1,27355,39225.1,0
631,20263.1,27109.6,47372.7,0
632,44620.4,26870.1,71490.5,0
633,23302.3,29481.2,52783.5,0
634,26817.6,27414.3,54231.8,0
635,9423.55,32123.1,41546.6,0
636,11132.4,29650.8,40783.1,0
637,19971.5,29638.7,49610.2,0
638,40175.8,28422.7,68598.5,0
639,18344.7,32356.9,50701.6,0
640,14199.2,30783.4,44982.7,0
641,19192.5,27393.1,46585.7,0
642,17506.3,29097.7,46604,0
643,56603.6,29991.1,86594.7,0
644,14628.1,32165.1,46793.2,0
645,9625.44,28857,38482.5,0
646,12330.7,30364.1,42694.8,0
647,31164.2,28338.4,59502.5,0
648,36490.9,27868.2,64359.1,0
649,14903,31536.1,46439.1,0
650,34594.9,29598.5,64193.4,0
651,16999.2,29424.6,46423.8,0
652,15289.4,32040.1,47329.6,0
653,35377.3,29557.8,64935.1,0
654,27969.9,27937.4,55907.3,0
655,13253,31090.9,44343.9,0
656,11807.1,27228,39035,0
657,23426.2,31042.5,54468.7,0
658,15378.2,28056.1,43434.2,0
659,20997.6,28895.8,49893.4,0
660,27008.9,28007,55015.9,0
661,12092.4,32773.8,44866.2,0
662,17846.1,26464.2,44310.3,0
663,17080.8,27734.5,44815.3,0
664,12344.9,31276.5,43621.4,0
665,16534.5,26068.4,42602.9,0
666,13283.6,28959.6,42243.3,0
667,21838.1,28244.1,50082.2,0
668,12465.2,29887.7,42352.9,0
669,21043.6,31588.1,52631.7,0
670,16844.2,28344.9,45189.1,0
671,13061.5,32991.9,46053.4,0
672,42149.4,30254.4,72403.8,0
673,10242,31795.2,42037.1,0
674,28382.4,28759.4,57141.9,0
675,17850.7,31501.1,49351.7,0
676,23177.4,27343.7,50521.1,0
677,25091.1,30572,55663.1,0
678,15580.3,33878.8,49459.1,0
679,17336.3,30714.5,48050.7,0
680,17798,27230.8,45028.8,0
681,18111.3,28841.4,46952.7,0
682,13327.5,29279,42606.5,0
683,15234.4,32002.2,47236.6,0
684,12863.2,28775.6,41638.8,0
685,20935.5,30093.5,51029,0
686,24830.8,28694.1,53524.8,0
687,13768.5,31588.3,45356.8,0
688,18226.7,29272.4,47499.1,0
689,36300.3,31142,67442.2,0
690,17099.6,28100.8,45200.4,0
691,20955.8,30771.8,51727.7,0
692,36275.2,27954.5,64229.7,0
693,8305.09,29990,38295.1,0
694,12753.4,29115.9,41869.3,0
695,38771.2,29179.3,67950.5,0
696,12275,32701.4,44976.4,0
697,21103.8,28645.5,49749.2,0
698,13804.4,31258.7,45063.1,0
699,22544.2,24075.6,46619.8,0
700,19086.2,29283.5,48369.7,0
701,13579.5,27288.4,40867.8,0
702,12018.8,28733.3,40752.1,0
703,16389.6,27517.5,43907.1,0
704,13238.1,28284,41522.1,0
705,38678.7,31054.5,69733.1,0
706,23383.6,33427.9,56811.4,0
707,16325.1,29449.2,45774.3,0
708,10498,31707.2,42205.2,0
709,41485.7,32183,73668.6,0
710,42152.1,27848.9,70001,0
711,31277.7,33546.7,64824.3,0
712,12796.9,27179.8,39976.7,0
713,21057.2,31079.5,52136.7,0
714,15955.9,28283.6,44239.5,0
715,17618.6,24898,42516.5,0
716,13356.2,32607.9,45964.1,0
717,25847.6,30970.9,56818.5,0
718,33897.6,29043.9,62941.5,0
719,11852.5,29012.1,40864.6,0
720,22232.1,27632.4,49864.5,0
721,34908.4,26539.3,61447.7,0
722,20327.9,28735.8,49063.6,0
723,26012.8,30807.7,56820.4,0
724,20068.7,31488.9,51557.5,0
725,12873.6,27813.5,40687.2,0
726,69445.7,30937.3,100383,0
727,29803.7,30924.4,60728.1,0
728,18980.4,30309.6,49290.1,0
729,17096.9,25293.9,42390.8,0
730,27314.2,33381.2,60695.4,0
731,14774.1,28750,43524.1,0
732,15197.9,28070.6,43268.5,0
733,37242.9,26691.7,63934.6,0
734,20996,27822.3,48818.3,0
735,16329.8,27775.2,44104.9,0
736,36242.2,31302.2,67544.5,0
737,19624.4,27800.2,47424.6,0
738,12276.9,33156.6,45433.4,0
739,40833.7,24677.8,65511.5,0
740,35590.7,28853.3,64444,0
741,11710.3,31938.2,43648.5,0
742,13385.3,27476.2,40861.5,0
743,25559.5,26383.1,51942.6,0
744,45274.9,28877.9,74152.7,0
745,23633.5,25919,49552.5,0
746,14457,29042.7,43499.7,0
747,22208.7,26796.6,49005.3,0
