HW,Runs,Method,Overhead,Extra runtime (%) [Kristian],Extra runtime (%) [Jarda],"Diff (K - J), pp",Average extra runtime [Kristian],Extra runtime deviation [Kristian],Average GT TS [Kristian],GT TS deviation [Kristian],Average estimated TS [Kristian],Estimated TS deviation [Kristian],Average miss (tuning steps) [Kristian],Average extra runtime [Jarda],Extra runtime deviation [Jarda],Average GT TS [Jarda],GT TS deviation [Jarda],Average estimated TS [Jarda],Estimated TS deviation [Jarda],Average miss (tuning steps) [Jarda]
2080,10000,1,1000,19.5353565882428,19.8762595782319,-0.34090298998915,0.195353565882428,0.141430013762588,215.532,182.532958602002,28.741,26.6751554634645,190.929,0.198762595782319,0.143174532245419,223.862,176.503657061263,24.824,19.867989933559,201.336
2080,10000,1,10000,15.6509905441607,15.8256687549884,-0.17467821082775,0.156509905441607,0.13217192222014,106.678,87.2100815043766,24.162,15.0035247858628,87.14,0.158256687549884,0.138147627090143,106.02,85.1721996898049,22.315,11.5676175161526,87.579
2080,10000,1,100000,8.15604465873734,8.47594011906325,-0.31989546032591,0.0815604465873734,0.0855836653392647,22.69,20.173395847006,18.941,5.6971500770122,15.491,0.0847594011906325,0.088790291407738,22.426,19.3110466831811,18.382,4.19715093843431,14.924
2080,10000,1,1000000,26.6936011078914,27.747299479721,-1.05369837182961,0.266936011078914,0.116982278803945,5.593,4.21940173484346,16.424,0.993088112908426,11.877,0.27747299479721,0.117355861845801,5.427,4.16973272524751,16.723,0.823572097633231,12.356
2080,1000000,0,100000,17.4441429135995,17.2254658887305,0.218677024868999,0.174441429135995,0.126337757052445,531.261,434.042641774976,72.286,77.1825641191066,467.827,0.172254658887305,0.132842097494759,573.457,440.123196560918,74.851,79.8710009890949,506.52
2080,1000000,0,1000000,12.6291803448029,13.0284446897211,-0.399264344918288,0.126291803448029,0.111132234848658,142.003,116.622823628139,37.967,19.3859204321074,111.726,0.130284446897211,0.116635560809249,144.83,117.636087575199,37.094,19.0467625595533,113.654
2080,1000000,0.5,100000,7.31204240416865,7.67862466889935,-0.3665822647307,0.0731204240416865,0.0679294617604624,531.261,434.042641774976,302.134,285.679481314287,427.903,0.0767862466889935,0.0696690155555235,536.497,431.65050908229,267.006,243.037824142663,414.115
2080,1000000,0.5,1000000,10.6495370564571,10.9309865113596,-0.28144945490255,0.106495370564571,0.0913969510529087,142.003,116.622823628139,55.411,36.212208977084,107.66,0.109309865113596,0.0910628402199995,149.08,115.99176522495,51.538,28.0000099285697,112.88
2080,1000000,1,100000,24.9052007606504,25.2149182771171,-0.309717516466719,0.249052007606504,0.151258306900102,531.261,434.042641774976,36.48,52.1130655402271,498.591,0.252149182771171,0.150166530544637,567.939,446.880450768435,31.374,51.8931028557746,540.687
2080,1000000,1,1000000,17.3639494391675,17.9651628255761,-0.601213386408531,0.173639494391675,0.137633227271299,142.003,116.622823628139,25.562,18.3972322918422,120.447,0.179651628255761,0.151888791348423,145.332,117.473545004822,23.564,15.5235274341884,125.154
2080,10000000,0,100,18.1864973984004,18.0576771653632,0.128820233037253,0.181864973984004,0.138955760628069,908.547,573.278183599376,142.294,314.841025859083,818.553,0.180576771653632,0.136946308603018,1001.099,580.697717576882,143.186,318.899541241439,922.733
2080,10000000,0,1000,17.9917277830801,17.9986369619704,-0.0069091788902184,0.179917277830801,0.139092236422361,908.547,573.278183599376,145.627,318.031353597409,815.222,0.179986369619704,0.138151063693654,989.174,582.830096789793,147.132,326.364818226475,906.958
2080,10000000,0,10000,18.3594686375879,17.2786402648555,1.0808283727324,0.183594686375879,0.138934941982831,908.547,573.278183599376,140.173,310.582489962007,819.184,0.172786402648555,0.134442213884031,1006.677,574.749944472377,151.005,321.441666519759,907.944
2080,10000000,0,1000000,17.3130642853661,17.819911998454,-0.506847713087854,0.173130642853661,0.126794335778069,535.474,434.652292440751,75.562,82.3562514688472,469.314,0.17819911998454,0.133790013503853,563.708,453.226482827295,79.841,85.5786288684272,499.067
2080,10000000,0.5,100,1.33116307620332,1.16550536388451,0.16565771231881,0.0133116307620332,0.028940463736643,908.547,573.278183599376,1320.832,596.734875615629,743.775,0.0116550536388451,0.0249853523786024,990.217,583.296631150052,1364.013,578.78032692119,739.534
2080,10000000,0.5,1000,1.33784505355048,1.25301384379329,0.0848312097571899,0.0133784505355048,0.0289483030859791,908.547,573.278183599376,1319.029,596.284791151846,744.284,0.0125301384379329,0.0268944072565485,1010.056,577.00814107255,1372.834,588.076724963673,761.572
2080,10000000,0.5,10000,1.40971251877523,1.51999325387443,-0.1102807350992,0.0140971251877523,0.0291561628121681,908.547,573.278183599376,1295.705,598.682303041438,737.462,0.0151999325387443,0.0297157744475303,978.524,572.675701792908,1349.68,604.061226698089,768.266
