Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,5767,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,1,1,32,3,10162390,131072,1,16777494,131073,0,0,0,74.9825,16777216,8394487,0,0,0.371837,99.777,1073741824,0,935067648,8388608,738721792,63438848,0,88121344,10.9574,0,1,8,0,33.3121,1024,4096,0,0,32
gemm_fast,10256,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,0,0,32,2,6824677,243392,3,75498086,262145,0,0,0,0,0,0,0,0,0.494417,99.6286,1073741824,0,1723334656,16777216,1074790400,63438848,0,123781120,6.13422,0,1,6,0,30.0496,1024,0,0,0,32
gemm_fast,8907,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,0,1,32,2,9313122,145650,2,50331942,262145,0,0,0,74.9715,8388608,4199090,0,0,0.494396,99.7497,1073741824,0,1287127040,8388608,907018240,71303168,0,104628224,7.09602,0,1,7,0,30.0889,1024,2048,0,0,40
gemm_fast,7867,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,1,0,32,2,8876377,164129,1,25166110,262145,0,0,0,74.9932,8388608,4195441,0,0,0.49483,99.368,1073741824,0,1345847296,8388608,940572672,62914560,0,107249664,8.12346,0,1,7,0,33.9173,1024,2048,0,0,38
gemm_fast,6897,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,1,1,32,3,10052048,143380,2,25166102,262145,0,0,0,74.9903,16777216,8391850,0,0,0.372402,99.601,1073741824,0,943456256,8388608,772800512,62914560,0,89432064,9.25441,0,1,7,0,30.7087,1024,4096,0,0,32
gemm_fast,7865,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,0,0,32,2,6752311,158287,2,41943262,262145,0,0,0,0,0,0,0,0,0.491928,99.897,1073741824,0,1438121984,16777216,806354944,96993280,0,107528192,8.0216,0,1,6,0,34.563,1024,0,0,0,40
gemm_fast,7714,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,0,1,32,2,7323227,153608,2,41943318,262145,0,0,0,74.9838,8388608,4197017,0,0,0.49614,98.8024,1073741824,0,1010565120,8388608,873463808,55312384,0,94437376,8.12967,0,1,7,0,30.948,1024,2048,0,0,38
gemm_fast,5367,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,1,0,32,4,9583789,154077,1,16777470,262145,0,0,0,74.9843,8388608,4196934,0,0,0.494951,99.7996,1073741824,0,1010827264,8388608,672137216,63438848,0,88408064,11.7744,0,1,7,0,41.5837,1024,2048,0,0,38
gemm_fast,5864,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,1,1,32,4,10696732,140179,1,16777510,262145,0,0,0,74.9968,16777216,8389679,0,0,0.372017,99.8033,1073741824,0,666894336,8388608,739246080,63438848,0,79757312,10.9334,0,1,8,0,32.81,1024,4096,0,0,32
gemm_fast,10266,262144,64,16,16,32,8,8,16,16,2,1,1,0,0,0,0,32,2,7013980,160850,2,50331870,262145,0,0,0,0,0,0,0,0,0.494526,99.9302,1073741824,0,1723334656,16777216,1074790400,63438848,0,123781120,6.15604,0,1,6,0,30.0697,1024,0,0,0,32
gemm_fast,7956,262144,64,16,16,32,8,8,16,16,2,1,1,0,0,0,1,32,2,7135616,151216,2,41943330,262145,0,0,0,74.9854,8388608,4196762,0,0,0.494727,98.9202,1073741824,0,1345847296,8388608,940572672,71303168,0,107511808,7.93857,0,1,7,0,33.7574,1024,2048,0,0,40
gemm_fast,7821,262144,64,16,16,32,8,8,16,16,2,1,1,0,0,1,0,32,2,8762885,182725,1,25166110,262145,0,0,0,74.991,8388608,4195822,0,0,0.495023,99.9622,1073741824,0,1345847296,8388608,940572672,62914560,0,107249664,8.03928,0,1,7,0,33.1918,1024,2048,0,0,38
